Int_ID,intersection_lat,intersection_long
285,40.5794,-74.0061
286,40.5794,-73.9597
287,40.5794,-73.9631
288,40.5794,-73.9524
289,40.5794,-73.9796
290,40.5795,-73.9558
291,40.5795,-73.8381
292,40.5796,-73.9622
293,40.5796,-73.9505
294,40.5797,-73.9496
295,40.5797,-73.8502
296,40.5797,-73.9719
297,40.5798,-73.9613
298,40.5798,-73.8372
299,40.5798,-73.9718
300,40.5799,-73.9567
301,40.5799,-73.9477
302,40.58,-73.9696
303,40.5801,-73.9598
304,40.5801,-73.8424
305,40.5801,-73.8363
306,40.5801,-74.1117
307,40.5802,-73.9653
308,40.5802,-73.9689
309,40.5802,-73.9449
310,40.5802,-73.9575
311,40.5802,-73.8288
312,40.5803,-73.9679
313,40.5803,-74.08
314,40.5803,-74.0039
315,40.5804,-73.9676
316,40.5804,-73.8416
317,40.5804,-73.9679
318,40.5804,-73.9673
319,40.5804,-73.8545
320,40.5806,-73.9716
321,40.5806,-73.8476
322,40.5806,-73.9547
323,40.5806,-73.9857
324,40.5807,-74.0062
325,40.5808,-73.8293
326,40.5808,-73.9656
327,40.5808,-73.9403
328,40.5808,-73.8337
329,40.5809,-74.0029
330,40.581,-73.9646
331,40.581,-73.9441
332,40.5811,-74.3543
333,40.5812,-73.8251
334,40.5813,-73.9658
335,40.5813,-73.9628
336,40.5814,-73.8451
337,40.5815,-73.9673
338,40.5815,-73.9619
339,40.5816,-73.9675
340,40.5816,-73.9676
341,40.5816,-73.9551
342,40.5817,-73.8413
343,40.5817,-73.8237
344,40.5817,-73.961
345,40.5817,-73.9538
346,40.5818,-73.9481
347,40.5818,-73.9657
348,40.5818,-73.9528
349,40.582,-73.9599
350,40.582,-73.9491
351,40.582,-73.951
352,40.582,-73.9711
353,40.5821,-73.9629
354,40.5824,-73.9559
355,40.5825,-73.9745
356,40.5825,-73.9612
357,40.5825,-74.0844
358,40.5826,-73.96
359,40.5827,-73.9631
360,40.5827,-73.9732
361,40.5827,-73.956
362,40.5829,-73.9573
363,40.583,-73.959
364,40.583,-73.957
365,40.583,-73.8848
366,40.5831,-73.9543
367,40.5831,-73.9573
368,40.5832,-73.9622
369,40.5833,-73.9613
370,40.5833,-73.9667
371,40.5833,-73.9525
372,40.5833,-74.1073
373,40.5834,-73.9745
374,40.5834,-73.9731
375,40.5835,-73.9574
376,40.5835,-73.9653
377,40.5835,-73.9606
378,40.5835,-73.9504
379,40.5836,-73.9496
380,40.5836,-74.6137
381,40.5837,-73.8215
382,40.5837,-73.9439
383,40.5837,-73.9484
384,40.5838,-73.9575
385,40.5838,-74.0865
386,40.5838,-73.9387
387,40.5838,-73.9708
388,40.5838,-73.9415
389,40.5839,-73.8172
390,40.5839,-73.9398
391,40.584,-73.9388
392,40.584,-73.9349
393,40.584,-73.937
394,40.584,-73.9368
395,40.584,-73.6496
396,40.584,-73.9359
397,40.5841,-73.969
398,40.5841,-73.6438
399,40.5841,-73.9349
400,40.5841,-73.934
401,40.5841,-74.0891
402,40.5842,-73.9527
403,40.5842,-73.8243
404,40.5842,-73.933
405,40.5842,-73.9848
406,40.5843,-73.8139
407,40.5843,-73.9321
408,40.5844,-73.9311
409,40.5844,-73.9733
410,40.5844,-73.6869
411,40.5844,-74.1501
412,40.5845,-73.6756
413,40.5845,-73.813
414,40.5845,-73.9859
415,40.5846,-73.6669
416,40.5846,-73.9719
417,40.5846,-73.9664
418,40.5846,-73.6982
419,40.5846,-73.6641
420,40.5846,-73.8196
421,40.5846,-73.6931
422,40.5846,-73.6926
423,40.5846,-73.692
424,40.5846,-73.9849
425,40.5846,-73.688
426,40.5847,-73.7021
427,40.5847,-73.9634
428,40.5847,-73.9547
429,40.5847,-73.9537
430,40.5847,-73.8124
431,40.5847,-73.6554
432,40.5847,-73.984
433,40.5847,-73.9438
434,40.5847,-73.6525
435,40.5848,-73.9573
436,40.5848,-73.6468
437,40.5848,-73.9626
438,40.5848,-73.937
439,40.5848,-73.9428
440,40.5848,-73.6554
441,40.5849,-73.9564
442,40.5849,-73.9691
443,40.5849,-73.936
444,40.5849,-73.9616
445,40.5849,-73.9486
446,40.5849,-73.6497
447,40.5849,-73.9512
448,40.585,-73.6438
449,40.585,-73.9418
450,40.585,-73.6426
451,40.585,-73.6415
452,40.585,-73.6381
453,40.585,-73.9438
454,40.5851,-73.816
455,40.5851,-73.9668
456,40.5852,-73.9284
457,40.5852,-73.9873
458,40.5852,-73.94
459,40.5852,-73.822
460,40.5853,-73.9439
461,40.5854,-73.8229
462,40.5854,-73.939
463,40.5854,-73.9874
464,40.5854,-73.9429
465,40.5854,-73.6698
466,40.5854,-73.637
467,40.5854,-73.914
468,40.5854,-73.8096
469,40.5855,-73.9567
470,40.5855,-73.9891
471,40.5855,-73.6641
472,40.5855,-73.8202
473,40.5855,-73.9419
474,40.5855,-73.9557
475,40.5856,-73.9666
476,40.5856,-73.9693
477,40.5856,-73.9549
478,40.5856,-73.8138
479,40.5857,-73.9618
480,40.5857,-73.954
481,40.5857,-73.8172
482,40.5858,-73.9744
483,40.5859,-73.8129
484,40.5859,-73.9362
485,40.5859,-73.9519
486,40.5859,-73.9333
487,40.586,-73.9392
488,40.586,-73.9722
489,40.586,-73.6976
490,40.586,-73.6959
491,40.586,-73.8166
492,40.586,-73.6892
493,40.586,-73.9353
494,40.586,-73.9343
495,40.586,-73.6827
496,40.5861,-73.9842
497,40.5861,-73.9314
498,40.5861,-74.5089
499,40.5861,-73.8225
500,40.5861,-73.6756
501,40.5861,-73.9713
502,40.5861,-73.9501
503,40.5861,-74.3738
504,40.5863,-73.9489
505,40.5863,-73.9862
506,40.5863,-74.192
507,40.5863,-73.9322
508,40.5863,-73.6526
509,40.5863,-73.9223
510,40.5863,-73.9694
511,40.5863,-73.7204
512,40.5863,-73.6468
513,40.5864,-73.9325
514,40.5864,-73.9479
515,40.5864,-73.8065
516,40.5864,-73.9685
517,40.5865,-73.8154
518,40.5865,-73.947
519,40.5865,-73.9676
520,40.5865,-73.9334
521,40.5866,-73.9354
522,40.5866,-73.9885
523,40.5866,-74.0868
524,40.5866,-73.9593
525,40.5866,-73.8209
526,40.5866,-73.7049
527,40.5866,-73.9664
528,40.5867,-73.9664
529,40.5867,-73.9661
530,40.5867,-73.9451
531,40.5867,-73.9659
532,40.5867,-73.9853
533,40.5867,-73.9216
534,40.5868,-73.9581
535,40.5868,-73.9441
536,40.5868,-73.8147
537,40.5868,-73.6754
538,40.5868,-73.7068
539,40.5869,-73.957
540,40.5869,-73.7282
541,40.5869,-73.9639
542,40.587,-73.9423
543,40.587,-73.9242
544,40.587,-73.963
545,40.587,-73.6497
546,40.5871,-73.9413
547,40.5871,-73.9621
548,40.5872,-73.799
549,40.5872,-73.9533
550,40.5872,-73.9677
551,40.5872,-73.989
552,40.5873,-73.9835
553,40.5873,-73.9394
554,40.5874,-74.1648
555,40.5874,-73.9594
556,40.5875,-73.6869
557,40.5875,-73.8122
558,40.5875,-73.8152
559,40.5875,-73.9523
560,40.5875,-73.9582
561,40.5876,-73.9366
562,40.5876,-73.9232
563,40.5877,-73.9571
564,40.5877,-73.9102
565,40.5877,-73.9356
566,40.5878,-73.9562
567,40.5878,-73.9915
568,40.5878,-73.8019
569,40.5878,-73.7998
570,40.5878,-73.9556
571,40.5878,-73.9622
572,40.5879,-73.9895
573,40.5879,-73.9743
574,40.588,-73.9562
575,40.588,-73.9492
576,40.588,-73.9328
577,40.588,-73.9604
578,40.5881,-73.9534
579,40.5881,-73.8064
580,40.5881,-73.9726
581,40.5881,-74.0731
582,40.5881,-73.9318
583,40.5881,-73.7936
584,40.5882,-73.9525
585,40.5882,-73.8137
586,40.5882,-73.9717
587,40.5882,-73.8009
588,40.5883,-73.9482
589,40.5883,-73.705
590,40.5883,-73.7055
591,40.5883,-73.7015
592,40.5883,-73.7021
593,40.5883,-73.6948
594,40.5883,-73.6903
595,40.5883,-73.926
596,40.5884,-73.9505
597,40.5885,-73.99
598,40.5885,-73.8036
599,40.5885,-73.9493
600,40.5885,-73.9689
601,40.5885,-73.9473
602,40.5885,-73.7995
603,40.5886,-73.7958
604,40.5886,-73.8123
605,40.5886,-73.9483
606,40.5886,-73.968
607,40.5887,-73.7153
608,40.5887,-73.7998
609,40.5887,-73.9605
610,40.5887,-73.967
611,40.5887,-73.8171
612,40.5888,-73.7249
613,40.5888,-73.986
614,40.5888,-73.9465
615,40.5889,-73.9659
616,40.5889,-73.8132
617,40.5889,-73.9564
618,40.5889,-73.9455
619,40.589,-73.6349
620,40.589,-73.9268
621,40.589,-74.1521
622,40.589,-73.9446
623,40.5891,-73.7933
624,40.5891,-73.7193
625,40.5891,-73.9436
626,40.5892,-73.8045
627,40.5892,-73.6843
628,40.5892,-73.7959
629,40.5892,-73.9427
630,40.5893,-73.7321
631,40.5893,-73.7329
632,40.5893,-73.9418
633,40.5894,-73.8029
634,40.5894,-73.9261
635,40.5894,-73.8156
636,40.5894,-73.6449
637,40.5894,-73.794
638,40.5894,-73.6421
639,40.5894,-73.6404
640,40.5895,-73.9408
641,40.5895,-73.9236
642,40.5895,-74.1637
643,40.5895,-73.736
644,40.5896,-73.9595
645,40.5896,-73.9398
646,40.5896,-73.7949
647,40.5896,-73.936
648,40.5896,-73.7379
649,40.5896,-73.9658
650,40.5896,-73.9874
651,40.5896,-73.9233
652,40.5897,-73.9652
653,40.5897,-74.0952
654,40.5897,-73.7402
655,40.5898,-73.9379
656,40.5898,-73.9575
657,40.5898,-73.9911
658,40.5899,-73.9635
659,40.5899,-73.937
660,40.5899,-73.9566
661,40.59,-74.1065
662,40.59,-73.9361
663,40.59,-73.9252
664,40.59,-73.6757
665,40.59,-73.6699
666,40.59,-73.8124
667,40.5901,-73.9548
668,40.5901,-73.9742
669,40.5901,-73.9673
670,40.5901,-74.1648
671,40.5902,-73.9275
672,40.5902,-74.1887
673,40.5902,-73.973
674,40.5903,-74.1527
675,40.5903,-73.9529
676,40.5903,-73.9656
677,40.5903,-74.0666
678,40.5903,-73.9843
679,40.5904,-73.9587
680,40.5904,-73.9915
681,40.5904,-73.9519
682,40.5905,-73.8124
683,40.5905,-73.9577
684,40.5905,-73.732
685,40.5905,-73.9702
686,40.5906,-73.942
687,40.5906,-74.0798
688,40.5906,-73.9627
689,40.5906,-73.9497
690,40.5906,-73.9751
691,40.5906,-73.9693
692,40.5907,-73.8031
693,40.5907,-73.9487
694,40.5908,-73.9684
695,40.5908,-74.1659
696,40.5908,-73.9851
697,40.5908,-73.6841
698,40.5909,-73.9674
699,40.5909,-73.9606
700,40.591,-73.9665
701,40.5911,-73.9459
702,40.5911,-73.9758
703,40.5911,-73.7343
704,40.5911,-73.9648
705,40.5912,-73.945
706,40.5912,-73.9578
707,40.5912,-73.9858
708,40.5913,-73.9638
709,40.5913,-73.944
710,40.5913,-73.7408
711,40.5914,-73.9629
712,40.5914,-73.7416
713,40.5914,-73.9431
714,40.5914,-73.9823
715,40.5915,-73.9422
716,40.5916,-73.9412
717,40.5917,-73.9402
718,40.5917,-73.9597
719,40.5918,-73.9657
720,40.5918,-73.9392
721,40.5918,-73.9652
722,40.5918,-73.9714
723,40.5919,-74.0953
724,40.5919,-73.9647
725,40.5919,-73.9777
726,40.5919,-73.994
727,40.5919,-73.9577
728,40.592,-74.1083
729,40.592,-73.9766
730,40.592,-73.9374
731,40.592,-73.957
732,40.5921,-73.9561
733,40.5922,-73.9953
734,40.5923,-73.6786
735,40.5924,-74.0768
736,40.5924,-73.6449
737,40.5924,-73.9533
738,40.5924,-73.9727
739,40.5925,-73.7997
740,40.5925,-73.9844
741,40.5925,-73.9326
742,40.5926,-73.9784
743,40.5926,-73.9645
744,40.5927,-73.9706
745,40.5927,-73.7981
746,40.5928,-73.9631
747,40.5928,-73.9501
748,40.5928,-73.9788
749,40.5929,-73.9688
750,40.593,-73.9678
751,40.593,-73.9887
752,40.593,-73.9608
753,40.5931,-73.9473
754,40.5931,-74.0648
755,40.5932,-73.9952
756,40.5932,-73.966
757,40.5932,-73.9463
758,40.5933,-73.9649
759,40.5934,-73.9759
760,40.5935,-73.9895
761,40.5935,-73.9633
762,40.5935,-74.0869
763,40.5935,-73.7772
764,40.5936,-73.9426
765,40.5936,-73.994
766,40.5937,-73.9416
767,40.5938,-73.6526
768,40.5938,-73.9718
769,40.5938,-73.7559
770,40.5939,-73.9818
771,40.5939,-74.1598
772,40.5939,-73.9396
773,40.5939,-73.9588
774,40.594,-73.7636
775,40.5941,-73.98
776,40.5941,-73.7627
777,40.5941,-73.7983
778,40.5942,-74.1865
779,40.5942,-73.9623
780,40.5942,-73.9584
781,40.5943,-73.9634
782,40.5943,-73.9909
783,40.5943,-73.9359
784,40.5944,-73.9609
785,40.5944,-73.9771
786,40.5944,-73.9646
787,40.5944,-73.935
788,40.5944,-73.9575
789,40.5944,-73.986
790,40.5945,-74.093
791,40.5945,-73.9537
792,40.5945,-73.934
793,40.5946,-73.9663
794,40.5946,-73.9595
795,40.5946,-73.9955
796,40.5946,-73.9527
797,40.5946,-73.9566
798,40.5947,-73.9672
799,40.5947,-74.1405
800,40.5947,-73.9518
801,40.5948,-73.7628
802,40.5948,-74.0659
803,40.5948,-73.9692
804,40.5948,-73.9557
805,40.5949,-73.9331
806,40.5949,-73.9505
807,40.5949,-73.9868
808,40.595,-73.7954
809,40.595,-73.7532
810,40.595,-73.754
811,40.595,-73.7513
812,40.595,-73.7602
813,40.5951,-73.9801
814,40.5951,-73.9783
815,40.5951,-73.9772
816,40.5951,-73.9762
817,40.5951,-73.9961
818,40.5951,-73.756
819,40.5951,-73.7593
820,40.5952,-73.9477
821,40.5952,-73.7532
822,40.5952,-74.0628
823,40.5952,-73.7499
824,40.5952,-73.758
825,40.5952,-73.754
826,40.5953,-73.9467
827,40.5953,-73.756
828,40.5953,-73.9875
829,40.5953,-73.9538
830,40.5954,-73.9683
831,40.5954,-73.9458
832,40.5955,-73.9674
833,40.5955,-73.9295
834,40.5955,-73.7664
835,40.5955,-73.9448
836,40.5956,-73.9664
837,40.5956,-73.9439
838,40.5956,-73.7439
839,40.5957,-73.9931
840,40.5957,-73.7757
841,40.5957,-73.943
842,40.5957,-73.9648
843,40.5958,-73.942
844,40.5958,-74.1089
845,40.5959,-73.7715
846,40.5959,-73.941
847,40.5959,-73.7389
848,40.5959,-73.7397
849,40.596,-74.0959
850,40.596,-73.9822
851,40.596,-73.9626
852,40.596,-73.7412
853,40.596,-73.7639
854,40.596,-73.7706
855,40.596,-73.743
856,40.596,-73.744
857,40.5961,-74.151
858,40.5961,-73.9938
859,40.5962,-73.961
860,40.5962,-73.952
861,40.5962,-73.989
862,40.5962,-73.9382
863,40.5963,-73.9794
864,40.5963,-73.9598
865,40.5964,-73.9713
866,40.5964,-73.9715
867,40.5964,-73.9588
868,40.5965,-74.0943
869,40.5965,-73.7561
870,40.5965,-73.9579
871,40.5965,-73.9733
872,40.5965,-73.9354
873,40.5966,-73.9079
874,40.5966,-73.9569
875,40.5966,-73.7571
876,40.5966,-73.9509
877,40.5966,-73.9344
878,40.5967,-73.9993
879,40.5967,-73.9897
880,40.5967,-73.998
881,40.5967,-73.9756
882,40.5968,-73.9551
883,40.5969,-73.7244
884,40.5969,-73.9741
885,40.5969,-73.9541
886,40.597,-73.9297
887,40.597,-73.9499
888,40.597,-74.0654
889,40.5971,-73.7956
890,40.5971,-73.9952
891,40.5971,-73.7946
892,40.5971,-73.9522
893,40.5971,-73.9335
894,40.5972,-73.7937
895,40.5972,-74.0736
896,40.5972,-73.7624
897,40.5973,-73.9987
898,40.5973,-73.951
899,40.5973,-73.9706
900,40.5974,-73.9696
901,40.5974,-73.95
902,40.5974,-73.765
903,40.5974,-73.7606
904,40.5974,-73.8011
905,40.5974,-73.7444
906,40.5974,-73.7453
907,40.5974,-73.7462
908,40.5975,-73.9687
909,40.5975,-74.165
910,40.5976,-73.9912
911,40.5976,-73.9959
912,40.5976,-73.9678
913,40.5977,-73.9669
914,40.5977,-73.9472
915,40.5978,-73.9462
916,40.5978,-73.756
917,40.5978,-73.9994
918,40.5978,-73.9657
919,40.5978,-73.7531
920,40.5978,-73.7633
921,40.5978,-73.9655
922,40.5979,-73.9652
923,40.5979,-73.9453
924,40.5979,-73.9716
925,40.598,-75.3407
926,40.598,-73.9641
927,40.5981,-73.9434
928,40.5981,-73.963
929,40.5981,-74.005
930,40.5981,-73.7575
931,40.5982,-73.7422
932,40.5982,-73.9425
933,40.5982,-73.9621
934,40.5982,-74.0978
935,40.5982,-73.9826
936,40.5983,-74.0024
937,40.5983,-74.0001
938,40.5983,-73.9415
939,40.5983,-73.7626
940,40.5984,-73.7769
941,40.5984,-73.9464
942,40.5984,-73.9602
943,40.5984,-73.9926
944,40.5985,-74.0651
945,40.5985,-73.7604
946,40.5985,-74.0785
947,40.5985,-74.0884
948,40.5985,-73.973
949,40.5985,-73.9866
950,40.5985,-73.9592
951,40.5985,-73.7938
952,40.5985,-74.0987
953,40.5985,-73.9799
954,40.5986,-73.9973
955,40.5986,-74.0808
956,40.5986,-73.9386
957,40.5986,-73.9583
958,40.5986,-73.7588
959,40.5986,-74.0044
960,40.5987,-73.9789
961,40.5987,-73.9718
962,40.5987,-73.7423
963,40.5987,-73.9573
964,40.5988,-73.9779
965,40.5988,-74.0007
966,40.5988,-73.9887
967,40.5988,-73.9368
968,40.5988,-73.7448
969,40.5988,-73.9564
970,40.5989,-73.7607
971,40.5989,-73.9769
972,40.5989,-73.9934
973,40.5989,-73.8208
974,40.5989,-73.9358
975,40.599,-73.9306
976,40.599,-73.7978
977,40.599,-73.9545
978,40.599,-73.9349
979,40.5991,-73.9981
980,40.5991,-73.7448
981,40.5991,-73.986
982,40.5991,-73.9747
983,40.5991,-73.9536
984,40.5992,-74.0039
985,40.5993,-74.0014
986,40.5993,-73.9526
987,40.5993,-73.9894
988,40.5993,-73.7525
989,40.5993,-73.7433
990,40.5993,-73.7406
991,40.5993,-73.9857
992,40.5993,-74.1508
993,40.5993,-73.9941
994,40.5994,-73.9514
995,40.5994,-74.0813
996,40.5994,-73.9719
997,40.5994,-73.9437
998,40.5995,-73.9504
999,40.5995,-73.7541
1000,40.5995,-73.9987
1001,40.5995,-73.971
1002,40.5996,-73.9494
1003,40.5996,-73.9701
1004,40.5997,-74.136
1005,40.5997,-73.7386
1006,40.5997,-74.0021
1007,40.5997,-73.7519
1008,40.5998,-74.1258
1009,40.5998,-73.9476
1010,40.5998,-73.9329
1011,40.5998,-73.9682
1012,40.5999,-73.9888
1013,40.5999,-74.0771
1014,40.5999,-73.9466
1015,40.6,-74.1508
1016,40.6,-74.1402
1017,40.6,-73.9457
1018,40.6001,-73.9659
1019,40.6001,-73.9447
1020,40.6001,-73.9656
1021,40.6002,-73.7488
1022,40.6002,-74.0028
1023,40.6002,-73.9438
1024,40.6002,-73.9956
1025,40.6002,-73.9645
1026,40.6003,-73.7406
1027,40.6003,-73.9429
1028,40.6004,-74.0087
1029,40.6004,-73.9635
1030,40.6004,-74.1542
1031,40.6004,-73.7509
1032,40.6004,-73.9882
1033,40.6004,-73.9849
1034,40.6004,-74.0812
1035,40.6005,-73.9625
1036,40.6005,-74.0002
1037,40.6005,-73.9412
1038,40.6006,-73.7621
1039,40.6006,-73.9916
1040,40.6006,-73.9614
1041,40.6006,-73.9831
1042,40.6006,-73.94
1043,40.6007,-73.9964
1044,40.6007,-73.6569
1045,40.6007,-73.7451
1046,40.6007,-73.9822
1047,40.6008,-73.7397
1048,40.6008,-73.9596
1049,40.6009,-73.7248
1050,40.6009,-73.9803
1051,40.6009,-73.9371
1052,40.601,-74.0008
1053,40.601,-74.0892
1054,40.601,-73.9876
1055,40.601,-73.7555
1056,40.601,-73.9578
1057,40.601,-73.7667
1058,40.601,-73.9923
1059,40.601,-73.7596
1060,40.6011,-73.9362
1061,40.6011,-74.1116
1062,40.6011,-73.9568
1063,40.6011,-73.9971
1064,40.6012,-73.9784
1065,40.6012,-73.991
1066,40.6012,-73.7403
1067,40.6012,-74.0866
1068,40.6013,-74.1331
1069,40.6013,-73.9774
1070,40.6013,-73.7661
1071,40.6013,-73.7682
1072,40.6013,-73.9549
1073,40.6013,-73.7626
1074,40.6014,-73.954
1075,40.6015,-73.9755
1076,40.6015,-73.993
1077,40.6015,-73.953
1078,40.6015,-73.987
1079,40.6015,-73.8193
1080,40.6016,-73.7409
1081,40.6017,-73.9518
1082,40.6017,-73.9734
1083,40.6017,-73.9614
1084,40.6017,-73.935
